Timestamp,CurMajor,Classification,PoliticalLean,SocialLean,EconomicLean,WaPoCredible,WaPoWhole,FoxCredible,FoxWhole,NewsSource,WaPoRate1,WaPoCheckOther1,WaPoAskOthers1,WaPoSocialMed1,WaPoSearchOnline1,WaPoOtherSource1,WaPoRate2,WaPoCheckOther2,WaPoAskOthers2,WaPoSocialMed2,WaPoSearchOnline2,WaPoOtherSource2,FoxRate1,FoxCheckOther1,FoxAskOthers1,FoxSocialMedia1,FoxSearchOnline1,FoxOtherSource1,FoxRate2,FoxCheckOther2,FoxAskOthers2,FoxSocialMedia2,FoxSearchOnline2,FoxOtherSource2
3/23/2021 17:10,Broadcast Journalism,Junior,Somewhat Liberal,Somewhat Liberal,Somewhat Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Online Publications,Mostly True,Somewhat Likely,Very Likely,Very Likely,Very Likely,Somewhat Unlikely,Mostly False,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Mostly True,Somewhat Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely
3/23/2021 17:11,Advertising,Junior,Somewhat Liberal,Somewhat Liberal,Very Liberal,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Online Publications,Mostly True,Somewhat Unlikely,Very Unlikely,Somewhat Likely,Somewhat Likely,Very Likely,Mostly True,Somewhat Likely,Very Unlikely,Somewhat Likely,Somewhat Likely,Very Likely,Mostly False,Very Likely,Very Unlikely,Very Likely,Very Likely,Very Likely,Mostly False,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely
3/23/2021 17:11,IMC,Junior,Somewhat Liberal,Very Liberal,Somewhat Liberal,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Social Media,Mostly True,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Mostly False,Very Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Mostly False,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely
3/23/2021 17:11,Communication Studies and PR,Senior,Independent,Somewhat Liberal,Independent,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Social Media,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Mostly False,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely
3/23/2021 17:17,Film,Senior,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Social Media,Mostly False,Very Likely,Somewhat Unlikely,Very Likely,Somewhat Likely,Somewhat Likely,TRUE,Somewhat Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,Mostly True,Somewhat Unlikely,Very Unlikely,Very Likely,Very Likely,Somewhat Likely,Mostly False,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely
3/23/2021 17:27,Media Production,Senior,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Online Publications,Mostly True,Very Likely,Very Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,FALSE,Very Likely,Very Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Mostly True,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely,Mostly True,Somewhat Likely,Very Unlikely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely
3/23/2021 17:28,Public Relations,Senior,Somewhat Liberal,Somewhat Liberal,Somewhat Liberal,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Social Media,Mostly True,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,Mostly False,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Mostly False,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely
3/23/2021 17:29,Multimedia Journalism,Sophomore,Somewhat Conservative,Somewhat Liberal,Somewhat Conservative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Online Publications,Mostly True,Very Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Very Likely,Mostly True,Very Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Very Likely,Mostly True,Very Likely,Very Unlikely,Somewhat Likely,Very Likely,Very Likely,Mostly True,Very Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Very Likely
3/23/2021 17:45,Integrated Marketing and Communications,Junior,Independent,Somewhat Conservative,Very Conservative,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Social Media,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Somewhat Likely,Somewhat Unlikely,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely
3/23/2021 17:47,"Multimedia Journalism, Broadcast Concentration",Freshman,Somewhat Conservative,Very Conservative,Independent,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Online Publications,Mostly True,Somewhat Unlikely,Very Unlikely,Somewhat Likely,Very Likely,Very Unlikely,Mostly True,Somewhat Unlikely,Very Unlikely,Somewhat Likely,Very Likely,Very Unlikely,Mostly True,Somewhat Likely,Somewhat Unlikely,Very Likely,Very Likely,Somewhat Unlikely,Mostly False,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Likely,Very Unlikely
3/23/2021 17:48,Broadcast Journalism,Junior,Very Conservative,Independent,Independent,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Social Media,Mostly True,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Very Likely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely
3/23/2021 17:51,Multimedia Journalism,Sophomore,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Online Publications,TRUE,Somewhat Unlikely,Very Unlikely,Very Unlikely,Somewhat Likely,Somewhat Unlikely,Mostly True,Somewhat Unlikely,Very Unlikely,Very Unlikely,Somewhat Likely,Somewhat Unlikely,TRUE,Somewhat Likely,Very Unlikely,Very Unlikely,Somewhat Likely,Somewhat Unlikely,TRUE,Somewhat Unlikely,Very Unlikely,Very Unlikely,Somewhat Likely,Somewhat Unlikely
3/23/2021 17:51,Integrated Marketing Communication,Senior,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Social Media,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Mostly False,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,TRUE,Very Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely
3/23/2021 19:04,Integrated Marketing Communication,Senior,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Social Media,Mostly True,Very Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Somewhat Unlikely,Mostly True,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Mostly True,Somewhat Likely,Very Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,Mostly False,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely
3/23/2021 19:36,Public Relations,Senior,Independent,Somewhat Liberal,Somewhat Conservative,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Online Publications,Mostly True,Very Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,Very Likely,FALSE,Very Likely,Very Likely,Somewhat Unlikely,Very Likely,Very Likely,TRUE,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,TRUE,Very Likely,Very Likely,Somewhat Unlikely,Very Likely,Very Likely
3/23/2021 19:52,Public Relatiobs,Senior,Independent,Somewhat Conservative,Somewhat Conservative,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Social Media,Mostly False,Very Unlikely,Somewhat Likely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly False,Very Unlikely,Somewhat Likely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly False,Very Unlikely,Somewhat Likely,Very Unlikely,Very Unlikely,Very Unlikely,,Very Unlikely,Somewhat Likely,Very Unlikely,Very Unlikely,Very Unlikely
3/23/2021 20:03,Public Relations,Sophomore,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Social Media,Mostly False,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,TRUE,Somewhat Likely,Somewhat Unlikely,Very Likely,Very Likely,Somewhat Likely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely
3/23/2021 20:33,Print Journalism,Senior,Independent,Somewhat Liberal,Independent,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Newspapers,Mostly True,Very Likely,Somewhat Unlikely,Very Unlikely,Somewhat Likely,Very Likely,Mostly True,Very Likely,Somewhat Unlikely,Very Unlikely,Very Likely,Very Likely,Mostly False,Somewhat Likely,Very Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Likely,Mostly True,Very Likely,Very Unlikely,Very Unlikely,Somewhat Unlikely,Very Likely
3/23/2021 21:11,Public Relations,Senior,Somewhat Liberal,Very Liberal,Independent,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Social Media,Mostly True,Somewhat Likely,Somewhat Unlikely,Very Likely,Somewhat Likely,Very Likely,Mostly False,Very Likely,Somewhat Unlikely,Very Likely,Somewhat Likely,Very Likely,Mostly True,Very Likely,Somewhat Unlikely,Very Likely,Very Likely,Very Likely,,Very Likely,Somewhat Unlikely,Very Likely,Very Likely,Very Likely
3/23/2021 21:17,IMC,Sophomore,Somewhat Liberal,Somewhat Liberal,Somewhat Conservative,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Social Media,TRUE,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,FALSE,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly False,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Mostly False,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely
3/23/2021 21:35,multimedia journalism,Freshman,Independent,Independent,Very Conservative,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Newspapers,Mostly False,Very Likely,Very Unlikely,Very Unlikely,Very Likely,Very Likely,Mostly True,Somewhat Likely,Somewhat Unlikely,Very Unlikely,Very Likely,Very Likely,Mostly True,Somewhat Likely,Very Unlikely,Very Unlikely,Very Likely,Very Likely,Mostly False,Somewhat Likely,Very Unlikely,Very Unlikely,Somewhat Likely,Very Likely
3/23/2021 21:41,Multimedia Journalism,Senior,Somewhat Conservative,Somewhat Conservative,Very Conservative,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Social Media,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Very Unlikely,Mostly False,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely,Very Unlikely,Very Unlikely,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly False,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely
3/23/2021 23:16,IMC,Freshman,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Social Media,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,FALSE,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Likely,FALSE,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely
3/23/2021 23:46,Integrated Marketing Communications,Sophomore,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Social Media,Mostly True,Very Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Very Unlikely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,TRUE,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely
3/24/2021 0:42,Media Production,Senior,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Online Publications,Mostly False,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly False,Somewhat Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely
3/24/2021 8:12,Public Relations,Senior,Very Conservative,Somewhat Conservative,Very Conservative,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Social Media,Mostly False,Very Unlikely,Somewhat Likely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly True,Very Unlikely,Somewhat Likely,Somewhat Likely,Very Unlikely,Very Unlikely,Mostly False,Very Unlikely,Somewhat Likely,Somewhat Likely,Very Unlikely,Very Unlikely,Mostly True,Very Unlikely,Somewhat Likely,Somewhat Likely,Very Unlikely,Very Unlikely
3/24/2021 9:40,IMC,Senior,Somewhat Liberal,Somewhat Liberal,Somewhat Conservative,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Online Publications,Mostly True,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely
3/24/2021 10:12,Multimedia Journalism,Freshman,Very Conservative,Very Conservative,Very Conservative,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Social Media,Mostly False,Somewhat Unlikely,Very Likely,Very Likely,Somewhat Likely,Somewhat Unlikely,Mostly False,Somewhat Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely,Somewhat Unlikely,Somewhat Unlikely,TRUE,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely
3/24/2021 10:18,Media Production,Sophomore,Somewhat Liberal,Somewhat Liberal,Somewhat Conservative,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Online Publications,Mostly True,Somewhat Likely,Very Unlikely,Very Likely,Somewhat Likely,Somewhat Likely,TRUE,Somewhat Likely,Somewhat Unlikely,Very Likely,Somewhat Likely,Somewhat Likely,Mostly True,Very Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely
3/24/2021 14:04,Communications and Bible,Sophomore,Independent,Very Liberal,Very Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Online Publications,Mostly False,Very Unlikely,Very Unlikely,Somewhat Likely,Very Likely,Very Likely,Mostly False,Very Likely,Very Unlikely,Very Likely,Very Unlikely,Very Unlikely,Mostly False,Very Unlikely,Very Unlikely,Very Likely,Very Unlikely,Very Unlikely,Mostly False,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely
3/25/2021 12:59,Computer Engineering/criminal justice,Senior,Very Conservative,Very Conservative,Very Conservative,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Other,Mostly True,Somewhat Likely,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Likely,Mostly False,Somewhat Likely,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Likely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely,Somewhat Unlikely
3/25/2021 12:59,Elementary Education,Sophomore,Somewhat Liberal,Somewhat Liberal,Somewhat Liberal,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Online Publications,FALSE,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Unlikely,FALSE,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly False,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly False,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely
3/25/2021 13:22,Mechanical Engineering,Senior,Somewhat Conservative,Somewhat Conservative,Somewhat Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Social Media,Mostly True,Very Likely,Very Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Mostly False,Very Likely,Very Likely,Somewhat Unlikely,Very Likely,Very Likely,TRUE,Somewhat Likely,Very Likely,Somewhat Unlikely,Somewhat Unlikely,Somewhat Likely,Mostly True,Very Likely,Very Likely,Somewhat Unlikely,Somewhat Likely,Very Likely
3/25/2021 13:47,Theatre Design/Production,Junior,Independent,Somewhat Liberal,Somewhat Conservative,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Social Media,Mostly True,Very Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Mostly True,Very Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Mostly True,Very Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Very Likely,Mostly True,Very Likely,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Very Likely
3/25/2021 13:51,IMC & History,Senior,Somewhat Conservative,Independent,Somewhat Conservative,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Other,Mostly False,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Unlikely,Somewhat Likely,Somewhat Likely,Somewhat Likely
3/29/2021 12:21,Media Production,Senior,Somewhat Liberal,Somewhat Liberal,Somewhat Liberal,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Online Publications,Mostly True,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Unlikely,Very Likely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Mostly True,Somewhat Unlikely,Somewhat Unlikely,Somewhat Unlikely,Very Unlikely,Somewhat Unlikely
3/29/2021 12:22,Media Production,Junior,Somewhat Conservative,Somewhat Conservative,Very Conservative,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Social Media,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly True,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Very Unlikely,Mostly True,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely
